ARPA_CZK,gross_margin_pct,CAC_CZK,monthly_contribution_CZK,payback_months
349,70,500,244.3,2.05
349,70,1000,244.3,4.09
349,70,1500,244.3,6.14
349,70,2500,244.3,10.23
349,70,5000,244.3,20.47
349,80,500,279.2,1.79
349,80,1000,279.2,3.58
349,80,1500,279.2,5.37
349,80,2500,279.2,8.95
349,80,5000,279.2,17.91
349,85,500,296.65,1.69
349,85,1000,296.65,3.37
349,85,1500,296.65,5.06
349,85,2500,296.65,8.43
349,85,5000,296.65,16.85
349,90,500,314.1,1.59
349,90,1000,314.1,3.18
349,90,1500,314.1,4.78
349,90,2500,314.1,7.96
349,90,5000,314.1,15.92
499,70,500,349.3,1.43
499,70,1000,349.3,2.86
499,70,1500,349.3,4.29
499,70,2500,349.3,7.16
499,70,5000,349.3,14.31
499,80,500,399.2,1.25
499,80,1000,399.2,2.51
499,80,1500,399.2,3.76
499,80,2500,399.2,6.26
499,80,5000,399.2,12.53
499,85,500,424.15,1.18
499,85,1000,424.15,2.36
499,85,1500,424.15,3.54
499,85,2500,424.15,5.89
499,85,5000,424.15,11.79
499,90,500,449.1,1.11
499,90,1000,449.1,2.23
499,90,1500,449.1,3.34
499,90,2500,449.1,5.57
499,90,5000,449.1,11.13
699,70,500,489.3,1.02
699,70,1000,489.3,2.04
699,70,1500,489.3,3.07
699,70,2500,489.3,5.11
699,70,5000,489.3,10.22
699,80,500,559.2,0.89
699,80,1000,559.2,1.79
699,80,1500,559.2,2.68
699,80,2500,559.2,4.47
699,80,5000,559.2,8.94
699,85,500,594.15,0.84
699,85,1000,594.15,1.68
699,85,1500,594.15,2.52
699,85,2500,594.15,4.21
699,85,5000,594.15,8.42
699,90,500,629.1,0.79
699,90,1000,629.1,1.59
699,90,1500,629.1,2.38
699,90,2500,629.1,3.97
699,90,5000,629.1,7.95
999,70,500,699.3,0.72
999,70,1000,699.3,1.43
999,70,1500,699.3,2.15
999,70,2500,699.3,3.58
999,70,5000,699.3,7.15
999,80,500,799.2,0.63
999,80,1000,799.2,1.25
999,80,1500,799.2,1.88
999,80,2500,799.2,3.13
999,80,5000,799.2,6.26
999,85,500,849.15,0.59
999,85,1000,849.15,1.18
999,85,1500,849.15,1.77
999,85,2500,849.15,2.94
999,85,5000,849.15,5.89
999,90,500,899.1,0.56
999,90,1000,899.1,1.11
999,90,1500,899.1,1.67
999,90,2500,899.1,2.78
999,90,5000,899.1,5.56
