ARPA_CZK,gross_margin_pct,monthly_logo_churn_pct,simple_contribution_ltv_CZK,12m_capped_contribution_CZK
349,75,2,13087.5,3141.0
349,75,4,6543.75,3141.0
349,75,6,4362.5,3141.0
349,75,8,3271.88,3141.0
349,75,10,2617.5,3141.0
349,85,2,14832.5,3559.8
349,85,4,7416.25,3559.8
349,85,6,4944.17,3559.8
349,85,8,3708.12,3559.8
349,85,10,2966.5,3559.8
499,75,2,18712.5,4491.0
499,75,4,9356.25,4491.0
499,75,6,6237.5,4491.0
499,75,8,4678.12,4491.0
499,75,10,3742.5,4491.0
499,85,2,21207.5,5089.8
499,85,4,10603.75,5089.8
499,85,6,7069.17,5089.8
499,85,8,5301.88,5089.8
499,85,10,4241.5,5089.8
699,75,2,26212.5,6291.0
699,75,4,13106.25,6291.0
699,75,6,8737.5,6291.0
699,75,8,6553.12,6291.0
699,75,10,5242.5,6291.0
699,85,2,29707.5,7129.8
699,85,4,14853.75,7129.8
699,85,6,9902.5,7129.8
699,85,8,7426.88,7129.8
699,85,10,5941.5,7129.8
999,75,2,37462.5,8991.0
999,75,4,18731.25,8991.0
999,75,6,12487.5,8991.0
999,75,8,9365.62,8991.0
999,75,10,7492.5,8991.0
999,85,2,42457.5,10189.8
999,85,4,21228.75,10189.8
999,85,6,14152.5,10189.8
999,85,8,10614.38,10189.8
999,85,10,8491.5,10189.8
